commodity,risk_index,spatial_volatility,integration_score,number_of_markets,fragmentation,cv,norm_risk_index,norm_fragmentation,norm_spatial_volatility,norm_number_of_markets,norm_inverted_integration,composite_risk,composite_rank,risk_category
Yam (Ratalu),0.1398537462389561,2181.35,0.8409800290908108,73,1.3290965304019238,0.2735113239168595,0.19744893316478399,0.049568085205098665,0.14441062972395577,0.12885662431941924,0.23852995636378382,0.1491739830820105,83,Moderately Stable
Onion Green,0.127327286068652,1136.3,0.8502338558875465,168,1.4655117131796196,0.2381671194456928,0.17933104318107565,0.05465563095405125,0.075225799874083,0.3012704174228675,0.22464921616868028,0.1463328048352409,84,Moderately Stable
"Sesamum(Sesame,Gingelly,Til)",0.2143806753885595,1721.91,0.9127624617015848,37,0.6186603633771375,0.1421314101915047,0.3052424107153825,0.02307267298005947,0.11399459391109942,0.06352087114337568,0.1308563074476229,0.14612034347333053,85,Moderately Stable
Guar,0.1638116657520134,1574.85,0.8218834797028823,19,1.2987442532220546,0.3298924862400598,0.2321009373283492,0.048436110042267146,0.10425886731646539,0.030852994555353903,0.26717478044567666,0.14575259869475152,86,Moderately Stable
Black Gram (Urd Beans)(Whole),0.1601873526526628,1632.35,0.865079241641309,74,1.2486280636656577,0.2144566319936994,0.22685884138841111,0.046567048241816025,0.10806550596185813,0.13067150635208713,0.20238113753803655,0.14473683693526315,87,Moderately Stable
Moath Dal,0.0996905734623696,3676.96,0.7954873625447086,2,0.6459627329192547,0.4567646288409996,0.1393581448758528,0.024090903145294724,0.24342361797501386,0.0,0.3067689561829371,0.14253023627152286,88,Moderately Stable
Kartali (Kantola),0.170877537168824,2189.13,0.8497998413016409,4,0.6723259762308998,0.297335191148733,0.24232079826498412,0.025074109000447473,0.14492568448328025,0.003629764065335753,0.22530023804753874,0.14210791573992754,89,Moderately Stable
Copra,0.1923558185634016,2285.53,0.894076073955933,5,0.5170228152517619,0.1944501408546338,0.27338632947296304,0.019282144203347944,0.15130759692529522,0.005444646098003629,0.15888588906610057,0.1414753022475004,90,Moderately Stable
Little gourd (Kundru),0.1368464080522132,1063.22,0.8021985059192411,37,1.9150737540368328,0.3433621756484759,0.19309921092319002,0.0714218545025016,0.07038772766181689,0.06352087114337568,0.2967022411211383,0.1407201957174541,91,Moderately Stable
Water Melon,0.1311170842184242,943.01,0.7805916295642442,37,1.8178550029958056,0.4181128865217051,0.1848124916513155,0.06779612286833832,0.06242953580855321,0.06352087114337568,0.32911255565363373,0.14059765583657252,92,Moderately Stable
Elephant Yam (Suran),0.1245326541267072,1502.54,0.8625543345907565,115,1.3936133667599786,0.2104900786984786,0.17528897276527325,0.05197421295324078,0.09947177096084192,0.20508166969147004,0.20616849811386528,0.13690804094628733,93,Moderately Stable
Duster Beans,0.1144302001188259,2545.58,0.7903069854296586,2,0.6666666666666666,0.4714045207910317,0.16067709137246128,0.02486304747687468,0.168523533964154,0.0,0.31453952185551215,0.13530452435211468,94,Moderately Stable
Green Gram (Moong)(Whole),0.1605472386487145,1498.03,0.8795324140887608,58,1.006945822583846,0.1948877635053592,0.22737936951802587,0.03755361269031419,0.09917319808622069,0.10163339382940108,0.18070137886685889,0.13470539985819938,95,Moderately Stable
Amla(Nelli Kai),0.1250744369418083,1543.57,0.8519337708098252,80,1.4978468451600824,0.2312024181559033,0.17607259090684016,0.055861555836453136,0.10218805589337174,0.14156079854809436,0.2220993437852622,0.13469575883243845,96,Moderately Stable
Cummin Seed(Jeera),0.2348296064715047,1372.66,0.961753725704057,27,0.2499979871337589,0.0596805971876434,0.33481912102365796,0.009323567734844631,0.09087340179104003,0.045372050816696916,0.05736941144391461,0.1340939253972734,97,Moderately Stable
Custard Apple (Sharifa),0.1215139351742723,1602.01,0.8139472952505358,37,1.317507418397626,0.3517770467336465,0.1709227897312499,0.04913587424213216,0.10605692480531524,0.06352087114337568,0.27907905712419645,0.1329861361239381,98,Moderately Stable
