,commodity,n_markets,mean_modal,min_modal,max_modal,std_modal,price_gap,price_gap_ratio,fragmentation_rank
151,Mahua,2,2600.0,2200.0,3000.0,565.685424949238,800.0,0.3076923076923077,152
152,Mustard Oil,33,13350.30303030303,12560.0,16400.0,818.4378597688585,3840.0,0.2876339204648629,153
153,Seemebadnekai,2,1750.0,1500.0,2000.0,353.5533905932738,500.0,0.2857142857142857,154
154,Jute,5,5194.0,4600.0,6000.0,519.7884184935251,1400.0,0.2695417789757412,155
155,Groundnut (Split),2,5520.0,4790.0,6250.0,1032.3759005323593,1460.0,0.2644927536231884,156
156,Castor Seed,47,6241.3125,5000.0,6650.0,454.96673510619604,1650.0,0.2643674707843903,157
157,Cummin Seed(Jeera),27,23000.185185185186,18750.0,24500.0,1372.664787278241,5750.0,0.24999798713375898,158
158,Bengal Gram Dal (Chana Dal),23,8387.391304347826,7975.0,10000.0,525.964200227495,2025.0,0.24143382924679901,159
159,Kodo Millet(Varagu),2,2950.0,2600.0,3300.0,494.9747468305833,700.0,0.23728813559322035,160
160,Bunch Beans,2,1700.0,1500.0,1900.0,282.842712474619,400.0,0.23529411764705882,161
161,Barley (Jau),32,2301.34375,1900.0,2420.0,123.234790169272,520.0,0.22595494480127098,162
162,Linseed,7,5704.285714285715,5000.0,6265.0,512.6437080746933,1265.0,0.22176308539944903,163
163,Coconut Oil,6,20583.333333333332,17800.0,22000.0,1567.694698168833,4200.0,0.20404858299595144,164
164,Nutmeg,2,22000.0,20000.0,24000.0,2828.42712474619,4000.0,0.18181818181818182,165
165,gulli,2,3800.0,3500.0,4100.0,424.26406871192853,600.0,0.15789473684210525,166
166,Soanf,7,6245.285714285715,5800.0,6782.0,394.7136997393234,982.0,0.1572386028318503,167
167,Isabgul (Psyllium),4,12332.5,11580.0,13000.0,590.6705229369978,1420.0,0.1151429150618285,168
168,Guar Seed(Cluster Beans Seed),7,4971.428571428572,4650.0,5185.0,189.8401583287522,535.0,0.10761494252873563,169
169,Taramira,2,5050.0,4850.0,5250.0,282.842712474619,400.0,0.07920792079207921,170
170,Rubber,4,21980.0,21500.0,22700.0,614.0032573203503,1200.0,0.0545950864422202,171
171,Foxtail Millet(Navane),2,2675.0,2610.0,2740.0,91.92388155425118,130.0,0.048598130841121495,172
172,Pepper ungarbled,2,61175.0,59850.0,62500.0,1873.8329701443508,2650.0,0.04331834899877401,173
173,Kutki,2,3667.5,3600.0,3735.0,95.45941546018392,135.0,0.03680981595092025,174
174,Alsandikai,2,3550.0,3500.0,3600.0,70.71067811865476,100.0,0.028169014084507043,175
175,Sugar,8,4121.875,4100.0,4200.0,34.01024005459872,100.0,0.024260803639120546,176
176,Coffee,3,21466.666666666668,21200.0,21700.0,251.66114784235882,500.0,0.023291925465838508,177
177,Alasande Gram,1,5714.0,5714.0,5714.0,,0.0,0.0,178
178,Cloves,1,80000.0,80000.0,80000.0,,0.0,0.0,179
179,Asalia,1,11400.0,11400.0,11400.0,,0.0,0.0,180
180,Ber(Zizyphus/Borehannu),1,1000.0,1000.0,1000.0,,0.0,0.0,181
181,Cardamoms,1,220000.0,220000.0,220000.0,,0.0,0.0,182
182,Cherry,1,15000.0,15000.0,15000.0,,0.0,0.0,183
183,Chapparad Avare,1,3600.0,3600.0,3600.0,,0.0,0.0,184
184,Ghee,1,53250.0,53250.0,53250.0,,0.0,0.0,185
185,Dry Fodder,1,420.0,420.0,420.0,,0.0,0.0,186
186,Other green and fresh vegetables,1,1800.0,1800.0,1800.0,,0.0,0.0,187
187,Lotus Sticks,1,5500.0,5500.0,5500.0,,0.0,0.0,188
188,Groundnut pods (raw),1,3750.0,3750.0,3750.0,,0.0,0.0,189
189,Jamun(Narale Hannu),2,8000.0,8000.0,8000.0,0.0,0.0,0.0,190
